id,failure
26570,0.18120206345691411
26571,0.13459455818396915
26572,0.1595399999764167
26573,0.16132754721809456
26574,0.3017599673278448
26575,0.14214940630561163
26576,0.13519996963661804
26577,0.19849833874586917
26578,0.11199842093328599
26579,0.15164428286279874
26580,0.14085703280549702
26581,0.18137845689184806
26582,0.18397507272832828
26583,0.16360967911453836
26584,0.18149133020357408
26585,0.1547534390871468
26586,0.14650840795409156
26587,0.1601178558772097
26588,0.1999853951663845
26589,0.15033513675533836
26590,0.147999159489897
26591,0.20481322900645393
26592,0.20034213491670472
26593,0.15774428939478352
26594,0.15084740937955746
26595,0.20310321065333833
26596,0.22718199424511282
26597,0.15370518488680243
26598,0.2491557730934424
26599,0.15275051057627828
26600,0.1639227604100231
26601,0.19653775876917726
26602,0.277690749517681
26603,0.16185229595889922
26604,0.14508471730645173
26605,0.13979319185645492
26606,0.11541566481859813
26607,0.1525572757310409
26608,0.12028900745493815
26609,0.1950460772193453
26610,0.15529550612110893
26611,0.16570791590815148
26612,0.10868257108241851
26613,0.17195232863873244
26614,0.151313940113954
26615,0.15735197065928325
26616,0.1729935868732312
26617,0.13176279350470047
26618,0.3330689292955995
26619,0.13926165101524687
26620,0.15553002460814555
26621,0.160948686811631
26622,0.1688208057571036
26623,0.18290033408774314
26624,0.15562632247107472
26625,0.18121592850418583
26626,0.13903377108618795
26627,0.32124664146853793
26628,0.11027082443567617
26629,0.28430143301007627
26630,0.1553536697756863
26631,0.218657795343594
26632,0.21656765062252042
26633,0.1740264708227334
26634,0.191592282293708
26635,0.20801284980885443
26636,0.3760164661846472
26637,0.1905342490744859
26638,0.23064389995801787
26639,0.13304344174993218
26640,0.17632951752475806
26641,0.17936390315904036
26642,0.22893982456401357
26643,0.2230203357387907
26644,0.1343338363693269
26645,0.15239300137194536
26646,0.22004978414799178
26647,0.21969427191254498
26648,0.15434710664271498
26649,0.2038771861719064
26650,0.19796581994217094
26651,0.1732675487403815
26652,0.20664551985585794
26653,0.18579321296628898
26654,0.2547667609168669
26655,0.1904971138599078
26656,0.14417755420498005
26657,0.19460833426291638
26658,0.19869634777304462
26659,0.16122397041635503
26660,0.17761430601933487
26661,0.17437491027082325
26662,0.14404523496331356
26663,0.2303878534559071
26664,0.15052809639690173
26665,0.1447988997272459
26666,0.118757127516951
26667,0.17120327668383845
26668,0.2106078906187401
26669,0.12546675579117408
26670,0.16983488957183918
26671,0.12854386953853392
26672,0.15323146077853456
26673,0.15517810991817177
26674,0.14840147354560784
26675,0.1561674349752895
26676,0.13439931155973772
26677,0.3036270491685085
26678,0.1529601799671569
26679,0.17459646487980715
26680,0.14762789348575758
26681,0.29404737711613765
26682,0.13858142927395736
26683,0.2608094085944715
